SHORTNAME,LOTSIZE,DECIMALS,MINSTEP,ISSUESIZE,ISIN,LISTLEVEL,ticker
Система ао,100,3,0.001,9650000000,RU000A0DQZE3,1,AFKS
Аэрофлот,10,2,0.01,3975771215,RU0009062285,1,AFLT
AGRO-гдр,1,1,0.2,0,US7496552057,1,AGRO
АЛРОСА ао,10,2,0.01,7364965630,RU0007252813,1,ALRS
МКБ ао,100,3,0.001,33429709866,RU000A0JUG31,1,CBOM
СевСт-ао,1,1,0.2,837718660,RU0009046510,1,CHMF
ЭН+ГРУП ао,1,1,0.2,638848896,RU000A100K72,1,ENPG
Россети,10000,5,2e-05,2113460101477,RU000A0JPNN9,1,FEES
FIVE-гдр,1,1,0.5,0,US98387E2054,1,FIVE
ГАЗПРОМ ао,10,2,0.01,23673512900,RU0007661625,1,GAZP
GLTR-гдр,1,2,0.05,0,US37949E2046,1,GLTR
ГМКНорНик,1,0,2.0,152863397,RU0007288411,1,GMKN
РусГидро,1000,4,0.0001,444793377038,RU000A0JPKH7,1,HYDR
ИнтерРАОао,100,4,0.0005,104400000000,RU000A0JPNM1,1,IRAO
ЛУКОЙЛ,1,1,0.5,692865762,RU0009024277,1,LKOH
ММК,10,3,0.005,11174330000,RU0009084396,1,MAGN
Магнит ао,1,1,0.5,101911355,RU000A0JKQU8,3,MGNT
МосБиржа,10,2,0.01,2276401458,RU000A0JR4A1,1,MOEX
МТС-ао,10,2,0.05,1998381575,RU0007775219,1,MTSS
НЛМК ао,10,2,0.02,5993227240,RU0009046452,1,NLMK
Новатэк ао,1,1,0.2,3036306000,RU000A0DKVS5,1,NVTK
OZON-адр,1,1,0.5,0,US69269L1044,1,OZON
ФосАгро ао,1,0,1.0,129500000,RU000A0JRKT8,1,PHOR
ПИК ао,1,1,0.1,660497344,RU000A0JP7J7,1,PIKK
Полюс,1,1,0.5,136069400,RU000A0JNAA8,1,PLZL
Polymetal,1,1,0.1,515259819,JE00B6T5S470,1,POLY
iПозитив,1,1,0.2,66000000,RU000A103X66,1,POSI
iQIWI,1,1,0.5,51979248,US74735M1080,1,QIWI
Роснефть,1,2,0.05,10598177817,RU000A0J2Q06,1,ROSN
Ростел -ао,10,2,0.01,3282997929,RU0008943394,1,RTKM
РУСАЛ ао,10,3,0.005,15193014862,RU000A1025V3,1,RUAL
Сбербанк,10,2,0.01,21586948000,RU0009029540,1,SBER
Сбербанк-п,10,2,0.01,1000000000,RU0009029557,1,SBERP
Селигдар,10,2,0.01,1030000000,RU000A0JPR50,1,SELG
Сегежа,100,3,0.001,15690000000,RU000A102XG9,1,SGZH
Сургнфгз,100,3,0.005,35725994705,RU0008926258,2,SNGS
Сургнфгз-п,100,3,0.005,7701998235,RU0009029524,2,SNGSP
Татнфт 3ао,1,1,0.1,2178690700,RU0009033591,1,TATN
Татнфт 3ап,1,1,0.1,147508500,RU0006944147,1,TATNP
TCS-гдр,1,1,0.5,0,US87238U2033,1,TCSG
Транснф ап,1,0,50.0,1554875,RU0009091573,1,TRNFP
Юнипро ао,1000,3,0.001,63048706145,RU000A0JNGA5,1,UPRO
"МКПАО ""ВК""",1,1,0.2,227874940,RU000A106YF0,1,VKCO
ВТБ ао,10000,6,5e-06,26849669465190,RU000A0JP5V6,1,VTBR
Yandex clA,1,1,0.2,326342270,NL0009805522,1,YNDX
